Gene	F01	F02	F03	F04	F05	F06	Annotation	Pathways
qmoA	2	3	2	6	2	4	Quinone-modifying oxidoreductase, subunit QmoA	Dissimilatory sulfur reduction and oxidation
qmoB	0	1	4	5	0	5	Quinone-modifying oxidoreductase, subunit QmoB	Dissimilatory sulfur reduction and oxidation
qmoC	0	0	1	2	2	4	Quinone-modifying oxidoreductase, subunit QmoC	Dissimilatory sulfur reduction and oxidation
rdsr	0	0	1	0	0	0	Reverse dissimilatory sulfite reductase	Dissimilatory sulfur reduction and oxidation
sat	47	45	35	41	48	58	Sulfate adenylyltransferase	Dissimilatory sulfur reduction and oxidation
sbp	8	7	10	9	5	8	Sulfate-binding protein	Others
sfnG	8	6	2	2	0	1	Dimethylsulfone monooxygenase	Organic sulfur transformation
sgpB	7	5	7	3	4	2	Sulfur globule protein CV2	Others
sgpC	10	11	8	6	6	10	Sulfur globule protein CV3	Others
shyA	0	1	1	1	4	9	Sulfhydrogenase 2 subunit alpha	Sulfur reduction
shyB	0	0	0	0	0	1	Sulfhydrogenase 2 subunit beta	Sulfur reduction
shyC	6	4	6	5	15	18	Sulfhydrogenase 2 subunit gamma	Sulfur reduction
shyD	0	0	2	1	2	2	Sulfhydrogenase 2 subunit delta	Sulfur reduction
sir	32	26	24	15	14	14	Sulfite reductase (ferredoxin)	Assimilatory sulfate reduction
slcC	36	17	26	16	45	48	s-sulfolactate dehydrogenase	Organic sulfur transformation
slcD	6	7	4	3	4	1	Sulfolactate dehydrogenase SlcD	Organic sulfur transformation
soeA	5	9	5	7	5	2	Sulfite dehydrogenase (quinone) subunit SoeA	Sulfur oxidation
soeC	2	1	1	0	0	0	Sulfite dehydrogenase (quinone) subunit SoeC	Sulfur oxidation
sorA	4	9	6	1	0	1	Sulfite cytochrome c oxidoreductase-subunitA	Sulfur oxidation
sorB	7	3	1	0	0	0	Sulfite cytochrome c oxidoreductase-subunitB	Sulfur oxidation
soxA	3	2	1	2	4	5	L-cysteine S-thiosulfotransferase	SOX systems
soxB	6	6	3	5	7	7	S-sulfosulfanyl-L-cysteine sulfohydrolase	SOX systems
soxC	24	19	12	11	10	8	Sulfane dehydrogenase subunit SoxC	SOX systems
soxD	10	3	2	0	0	1	S-disulfanyl-L-cysteine oxidoreductase SoxD	SOX systems
soxX	33	28	14	11	6	4	L-cysteine S-thiosulfotransferase	SOX systems
soxY	7	2	1	7	7	5	Sulfur-oxidizing protein SoxY	SOX systems
soxZ	6	2	1	1	1	1	Sulfur-oxidizing protein SoxZ	SOX systems
sqdB	3	6	13	8	9	9	UDP-sulfoquinovose synthase	Organic sulfur transformation
sqdD	0	0	0	0	0	1	Glycosyltransferase	Organic sulfur transformation
sqdX	36	60	61	54	58	76	Glycogen synthase	Organic sulfur transformation
sqr	2	3	3	2	2	3	Sulfide:quinone oxidoreductase	Sulfur oxidation
sreA	0	0	0	0	0	0	Sulfur reductase molybdopterin subunit	Sulfur reduction
sseA	17	13	11	4	4	5	Thiosulfate sulfurtransferase	Sulfur oxidation
ssuA	80	89	69	95	65	34	Sulfonate transport system substrate-binding protein	Others
ssuB	91	81	65	72	80	72	Sulfonate transport system ATP-binding protein	Others
ssuC	51	24	15	25	27	27	Sulfonate transport system permease protein	Others
ssuD	73	68	43	32	32	32	Alkanesulfonate monooxygenase	Link between inorganic and organic sulfur transformation
ssuE	13	8	7	6	12	12	FMN reductase	Link between inorganic and organic sulfur transformation
sudA	54	56	60	71	127	122	Sulfide dehydrogenase subunit alpha	Sulfur reduction
sudB	4	5	2	5	12	13	Sulfide dehydrogenase subunit beta	Sulfur reduction
sulP	51	71	52	44	62	66	Sulfate permease	Others
suyA	5	3	5	6	10	8	(2R)-sulfolactate sulfo-lyase subunit alpha	Link between inorganic and organic sulfur transformation
suyB	2	3	0	2	3	5	(2R)-sulfolactate sulfo-lyase subunit beta	Link between inorganic and organic sulfur transformation
tauA	13	18	11	18	11	23	Taurine transport system substrate-binding protein	Others
tauB	22	19	24	15	17	27	Taurine transport system ATP-binding protein	Others
tauC	4	1	0	2	0	3	Taurine transport system permease protein	Others
tauD	47	27	27	37	21	25	Taurine dioxygenase	Link between inorganic and organic sulfur transformation
tauE	0	0	1	0	0	0	Sulfite/organosulfonate exporter	Others
tauX	0	0	0	0	0	1	Taurine dehydrogenase small subunit	Organic sulfur transformation
tauY	1	0	0	0	0	0	Taurine dehydrogenase large subunit	Organic sulfur transformation
tauZ	1	1	1	3	6	2	Membrane protein TauZ	Others
tbuB	2	2	0	0	0	0	Toluene-3-monooxygenase	Link between inorganic and organic sulfur transformation
tbuC	8	3	1	0	3	5	Toluene-3-monooxygenase	Link between inorganic and organic sulfur transformation
tetH	1	0	0	0	0	0	Tetrathionate hydrolase TetH	Sulfur disproportionation
tmm	1	1	0	0	0	0	Trimethylamine monooxygenase	Organic sulfur transformation
tmoC	6	5	3	1	1	2	Toluene-4-monooxygenase	Link between inorganic and organic sulfur transformation
toa	5	3	2	2	2	2	Taurine:2-oxoglutarate transaminase	Organic sulfur transformation
touF	1	2	1	1	0	0	Toluene o-xylene monooxygenase	Link between inorganic and organic sulfur transformation
tpa	62	54	46	37	46	46	Taurine-pyruvate aminotransferase	Organic sulfur transformation
tsdA	19	16	12	6	12	9	Thiosulfate dehydrogenase	Sulfur oxidation
tsdB	18	8	8	1	0	0	Thiosulfate dehydrogenase electron acceptor	Sulfur oxidation
ttrA	26	26	19	17	30	17	Tetrathionate reductase subunit A	Sulfur reduction
ttrB	20	31	28	31	37	32	Tetrathionate reductase subunit B	Sulfur reduction
ttrC	2	1	1	1	0	2	Tetrathionate reductase subunit C	Sulfur reduction
tusA	26	34	27	36	39	46	Sulfur carrier protein TusA	Others
tusB	10	8	13	10	27	35	tRNA 2-thiouridine synthesizing protein B	Others
tusC	1	0	0	0	0	0	tRNA 2-thiouridine synthesizing protein C	Others
tusD	5	4	7	10	9	13	Sulfurtransferase TusD	Others
tusE	9	8	3	4	4	0	Sulfurtransferase TusE	Others
xsc	62	50	31	29	34	33	Sulfoacetaldehyde acetyltransferase	Link between inorganic and organic sulfur transformation
yihQ	0	0	0	1	2	3	Sulfoquinovosidase	Organic sulfur transformation
